"","Participant","Demo_country","Demo_lang1","Demo_lang2","Demo_lang3","Demo_moral_reason","Demo_religion","Demo_lang4","Demo_rightwrong","Demo_gender","Label","TrialType","Group","Number","Valence","R1A","R2","R3","R4","R5","R6"
"11",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","7","Pos","Somewhat right","Maybe there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"12",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase1","test","A","2","Neg","Very right","Maybe no correct answer","Most of them would agree with me","A little easy",NA,NA
"13",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","7","none","Somewhat right","Maybe no correct answer","Some of them would agree with me","A little easy",NA,NA
"14",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","8","none","Very wrong","Definitely there is a correct answer","Some of them would agree with me","A little easy",NA,NA
"15",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","2","none","Somewhat right","Probably no correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"16",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","12","none","Somewhat wrong","Maybe no correct answer","Almost everyone would disagree with me","A little difficult",NA,NA
"17",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","6","none","Somewhat wrong","Maybe no correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"18",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","4","none","Somewhat wrong","Probably no correct answer","Most of them would disagree with me","Very easy",NA,NA
"19",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","1","none","Somewhat right","Definitely no correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"20",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","9","none","Somewhat right","Probably there is a correct answer","Some of them would agree with me","A little difficult",NA,NA
"21",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","13","none","Somewhat wrong","Probably there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"22",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","3","none","Right","Maybe no correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"23",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","5","none","Right","Maybe there is a correct answer","Some of them would agree with me","Very easy",NA,NA
"24",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","14","none","Somewhat right","Maybe no correct answer","Most of them would disagree with me","Somewhat easy",NA,NA
"25",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","10","none","Somewhat right","Probably there is a correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"26",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","fillers","filler","none","11","none","Somewhat right","Maybe no correct answer","Some of them would disagree with me","Very easy",NA,NA
"27",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","6","Neg",NA,NA,NA,NA,"The other person is likely mistaken","Mildly comfortable"
"28",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","5","Pos",NA,NA,NA,NA,"Probably neither of us needs to be mistaken","Mildly comfortable"
"29",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","4","Neg",NA,NA,NA,NA,"The other person is maybe mistaken","Very comfortable"
"30",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","9","Pos",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Mildly uncomfortable"
"31",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","8","Neg",NA,NA,NA,NA,"The other person is maybe mistaken","Mildly uncomfortable"
"32",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","3","Pos",NA,NA,NA,NA,"The other person is maybe mistaken","Very uncomfortable"
"33",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","10","Neg",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Very uncomfortable"
"34",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","1","Pos",NA,NA,NA,NA,"The other person is maybe mistaken","Extremely uncomfortable"
"35",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","2","Neg",NA,NA,NA,NA,"The other person is likely mistaken","Mildly uncomfortable"
"36",50,"69","69","","","unchecked;unchecked;checked;unchecked","unchecked;unchecked;unchecked;checked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked","unchecked","yes","nonbinary","test_phase2","test","A","7","Pos",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Mildly comfortable"
"37",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","practice","1","NULL","none","none","Wrong","Probably there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"38",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","practice","2","NULL","none","none","Somewhat wrong","Probably no correct answer","Some of them would agree with me","A little difficult",NA,NA
"39",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","3","Neg","Wrong","Probably there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"40",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","4","Pos","Somewhat wrong","Probably there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"41",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","9","Neg","Very wrong","Definitely there is a correct answer","Most of them would agree with me","Very easy",NA,NA
"42",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","2","Pos","Somewhat wrong","Maybe there is a correct answer","Some of them would agree with me","A little difficult",NA,NA
"43",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","6","Pos","Right","Probably there is a correct answer","Most of them would agree with me","A little easy",NA,NA
"44",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","5","Neg","Wrong","Probably there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"45",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","7","Neg","Somewhat right","Maybe no correct answer","Most of them would agree with me","A little easy",NA,NA
"46",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","10","Pos","Somewhat right","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"47",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","1","Neg","Very wrong","Definitely there is a correct answer","Some of them would agree with me","Very easy",NA,NA
"48",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase1","test","B","8","Pos","Somewhat right","Probably no correct answer","Some of them would agree with me","A little easy",NA,NA
"49",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","4","none","Right","Probably there is a correct answer","Almost everyone would agree with me","Somewhat easy",NA,NA
"50",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","11","none","Very wrong","Definitely there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"51",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","10","none","Wrong","Probably there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"52",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","3","none","Very wrong","Definitely there is a correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"53",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","9","none","Wrong","Definitely there is a correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"54",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","5","none","Very wrong","Definitely there is a correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"55",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","12","none","Somewhat wrong","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"56",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","1","none","Somewhat wrong","Probably there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"57",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","8","none","Wrong","Maybe there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"58",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","14","none","Wrong","Probably there is a correct answer","Some of them would agree with me","Somewhat easy",NA,NA
"59",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","13","none","Somewhat wrong","Maybe there is a correct answer","Some of them would agree with me","A little difficult",NA,NA
"60",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","7","none","Very wrong","Definitely there is a correct answer","Some of them would disagree with me","Very easy",NA,NA
"61",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","2","none","Very wrong","Probably there is a correct answer","Some of them would disagree with me","Somewhat easy",NA,NA
"62",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","fillers","filler","none","6","none","Somewhat wrong","Maybe there is a correct answer","Most of them would agree with me","Somewhat easy",NA,NA
"63",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","5","Neg",NA,NA,NA,NA,"The other person is likely mistaken","Very uncomfortable"
"64",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","4","Pos",NA,NA,NA,NA,"Probably neither of us needs to be mistaken","Mildly uncomfortable"
"65",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","10","Pos",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Mildly uncomfortable"
"66",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","2","Pos",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Mildly uncomfortable"
"67",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","8","Pos",NA,NA,NA,NA,"Maybe neither of us needs to be mistaken","Mildly uncomfortable"
"68",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","3","Neg",NA,NA,NA,NA,"The other person is likely mistaken","Mildly uncomfortable"
"69",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","1","Neg",NA,NA,NA,NA,"The other person is clearly mistaken","Very uncomfortable"
"70",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","7","Neg",NA,NA,NA,NA,"The other person is clearly mistaken","Very uncomfortable"
"71",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","9","Neg",NA,NA,NA,NA,"The other person is clearly mistaken","Very uncomfortable"
"72",7,"UK","English","","","unchecked;unchecked;unchecked;checked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked","unchecked","no","woman","test_phase2","test","B","6","Pos",NA,NA,NA,NA,"The other person is likely mistaken","Mildly uncomfortable"
"73",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","practice","2","NULL","none","none","Very wrong","Maybe there is a correct answer","Most of them would agree with me","A little easy",NA,NA
"74",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","practice","1","NULL","none","none","Somewhat right","Maybe no correct answer","Most of them would disagree with me","A little difficult",NA,NA
"75",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","9","Neg","Somewhat wrong","Maybe there is a correct answer","Most of them would agree with me","Somewhat difficult",NA,NA
"76",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","2","Pos","Somewhat wrong","Maybe there is a correct answer","Some of them would disagree with me","A little difficult",NA,NA
"77",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","1","Neg","Wrong","Probably there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"78",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","10","Pos","Somewhat right","Maybe no correct answer","Some of them would disagree with me","A little difficult",NA,NA
"79",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","8","Pos","Somewhat wrong","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"80",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","4","Pos","Very right","Maybe no correct answer","Most of them would agree with me","A little easy",NA,NA
"81",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","6","Pos","Right","Probably there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"82",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","7","Neg","Wrong","Maybe no correct answer","Most of them would disagree with me","A little difficult",NA,NA
"83",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","3","Neg","Wrong","Maybe there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"84",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","test_phase1","test","B","5","Neg","Wrong","Maybe there is a correct answer","Some of them would agree with me","A little easy",NA,NA
"85",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","11","none","Wrong","Definitely there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"86",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","3","none","Very wrong","Definitely there is a correct answer","Most of them would disagree with me","Somewhat easy",NA,NA
"87",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","8","none","Wrong","Maybe there is a correct answer","Some of them would disagree with me","A little easy",NA,NA
"88",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","5","none","Very wrong","Definitely no correct answer","Almost everyone would agree with me","Very easy",NA,NA
"89",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","13","none","Somewhat right","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"90",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","12","none","Wrong","Maybe there is a correct answer","Some of them would agree with me","A little easy",NA,NA
"91",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","2","none","Somewhat wrong","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"92",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","4","none","Somewhat right","Maybe no correct answer","Some of them would agree with me","A little difficult",NA,NA
"93",26,"United Kingdom","Russian","English","Latvian","unchecked;checked;checked;unchecked","unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;unchecked;checked;unchecked;unchecked","unchecked","yes","man","fillers","filler","none","14","none","Somewhat right","Maybe there is a correct answer","Some of them would disagree with me","A little difficult",NA,NA
